京运通,0.00,13.17,13.17,0.00,0.00,0.00,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2014-11-28,15:03:02,03
天顺风能,16.03,16.03,15.58,16.13,15.33,15.58,15.59,3688512,57760180.22,6700,15.58,2300,15.57,7300,15.56,12000,15.55,3671,15.54,4800,15.59,26959,15.60,9800,15.61,3300,15.62,7900,15.63,2014-11-28,15:33:49,00
科陆电子,15.55,15.45,15.53,15.77,15.31,15.53,15.54,6885535,106665378.58,18462,15.53,34300,15.52,2700,15.51,23500,15.50,1900,15.48,13100,15.54,34832,15.55,12100,15.56,23164,15.57,9000,15.58,2014-11-28,15:33:49,00
北京科锐,15.01,15.12,15.57,15.90,14.68,15.57,15.58,18737280,285566904.72,61380,15.57,92200,15.56,32716,15.55,6700,15.54,13322,15.53,2310,15.58,3600,15.59,42930,15.60,1800,15.61,1310,15.62,2014-11-28,15:33:49,00
大连电瓷,18.74,18.73,18.86,19.00,18.34,18.86,18.87,7416904,138632334.65,3800,18.86,13500,18.85,24100,18.84,36300,18.83,6900,18.82,8700,18.87,14704,18.88,8000,18.90,200,18.92,3200,18.93,2014-11-28,15:33:49,00
中航光电,26.50,26.50,25.30,26.59,25.20,25.29,25.30,11316793,290922448.55,16400,25.29,24300,25.28,12700,25.27,4100,25.26,38200,25.25,40824,25.30,14800,25.31,5700,25.32,11652,25.33,17460,25.34,2014-11-28,15:33:49,00
恒宝股份,13.80,13.77,13.48,13.82,13.31,13.48,13.49,15588440,211232843.25,23498,13.48,17600,13.47,41400,13.46,82400,13.45,18300,13.44,2580,13.49,21675,13.50,27200,13.51,14300,13.52,100,13.53,2014-11-28,15:33:49,00
晶方科技,49.45,49.45,49.22,50.68,48.96,49.21,49.30,2375625,118155450,600,49.21,30900,49.20,1900,49.19,4000,49.15,1600,49.13,100,49.30,200,49.46,800,49.49,6621,49.50,400,49.55,2014-11-28,15:03:02,00
华天科技,14.55,14.58,14.73,14.95,14.29,14.72,14.73,19414547,284547283.78,54900,14.72,21500,14.71,42500,14.70,29200,14.69,52900,14.68,25895,14.73,6600,14.74,55600,14.75,16600,14.76,36900,14.77,2014-11-28,15:33:49,00
天喻信息,19.640,19.580,18.680,19.640,18.540,18.680,18.690,25141055,475638616.520,126700,18.680,14500,18.670,23200,18.660,13414,18.650,38600,18.640,21400,18.690,36700,18.700,10900,18.710,29912,18.720,19421,18.730,2014-11-28,15:33:49,00
尔康制药,0.000,40.880,0.000,0.000,0,0.000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2014-11-28,15:33:49,03
