2014-12-16 22:19:48,168 [1] INFO  DayKLog [(null)] - starttime:2014-12-16 22:19:47 268
2014-12-16 22:19:53,398 [1] INFO  DayKLog [(null)] - Line:1  code:601908,date:京运通 starting 
2014-12-16 22:19:53,398 [16] INFO  DayKLog [(null)] - Line:3  code:002121,date:科陆电子 starting 
2014-12-16 22:19:53,398 [17] INFO  DayKLog [(null)] - Line:2  code:603005,date:晶方科技 starting 
2014-12-16 22:19:53,398 [13] INFO  DayKLog [(null)] - Line:5  code:002606,date:大连电瓷 starting 
2014-12-16 22:19:53,408 [12] INFO  DayKLog [(null)] - Line:7  code:002104,date:恒宝股份 starting 
2014-12-16 22:19:53,398 [9] INFO  DayKLog [(null)] - Line:4  code:002350,date:北京科锐 starting 
2014-12-16 22:19:53,408 [14] INFO  DayKLog [(null)] - Line:6  code:002531,date:天顺风能 starting 
2014-12-16 22:19:53,458 [11] INFO  DayKLog [(null)] - Line:9  code:002185,date:华天科技 starting 
2014-12-16 22:19:53,408 [15] INFO  DayKLog [(null)] - Line:8  code:002179,date:中航光电 starting 
2014-12-16 22:19:54,058 [18] INFO  DayKLog [(null)] - Line:10  code:300205,date:天喻信息 starting 
2014-12-16 22:19:54,068 [14] INFO  DayKLog [(null)] - Line:11  code:300267,date:尔康制药 starting 
2014-12-16 22:19:54,588 [19] INFO  DayKLog [(null)] - Line:12  code:000598,date:兴蓉投资 starting 
2014-12-16 22:19:54,628 [17] INFO  DayKLog [(null)] - Line:13  code:002650,date:加加食品 starting 
2014-12-16 22:19:55,018 [13] INFO  DayKLog [(null)] - Line:14  code:600547,date:山东黄金 starting 
2014-12-16 22:19:55,378 [16] INFO  DayKLog [(null)] - Line:15  code:600340,date:华夏幸福 starting 
2014-12-16 22:19:55,798 [11] INFO  DayKLog [(null)] - Line:16  code:600729,date:重庆百货 starting 
2014-12-16 22:19:55,958 [12] INFO  DayKLog [(null)] - Line:17  code:002519,date:银河电子 starting 
2014-12-16 22:19:56,148 [15] INFO  DayKLog [(null)] - Line:18  code:600329,date:中新药业 starting 
2014-12-16 22:19:56,326 [1] INFO  DayKLog [(null)] - Line:19  code:000543,date:皖能电力 starting 
2014-12-16 22:19:56,711 [20] INFO  DayKLog [(null)] - Line:20  code:002084,date:海鸥卫浴 starting 
2014-12-16 22:19:57,242 [21] INFO  DayKLog [(null)] - Line:21  code:300207,date:欣旺达 starting 
2014-12-16 22:19:57,274 [9] INFO  DayKLog [(null)] - Line:22  code:600006,date:东风汽车 starting 
